來源文字 ID,譯文 — 英文,譯文 — 閩南語（台灣）,譯文 — 中文（繁體）
plugins.graph-view.option-show-arrows,Arrows,Arrows,方向箭頭
plugins.graph-view.option-show-arrows-description,Show arrows when zoomed in,Show arrows when zoomed in,連接線顯示方向箭頭
plugins.graph-view.option-text-fade,Text fade threshold,Text fade threshold,文字透明度
plugins.graph-view.option-node-size,Node size,Node size,節點尺寸
plugins.graph-view.option-link-thickness,Link thickness,Link thickness,連接線寬度
plugins.graph-view.label-forces,Forces,Forces,強度設定
plugins.graph-view.option-center-force,Center force,Center force,節點集中強度
plugins.graph-view.option-link-force,Link force,Link force,節點間的連結強度
plugins.graph-view.option-link-distance,Link distance,Link distance,連接線距離
plugins.graph-view.option-repel-force,Repel force,Repel force,節點間的互斥強度
plugins.graph-view.tooltip-open-graph-settings,Open graph settings,Open graph settings,開啟關聯圖設定
plugins.graph-view.msg-screenshot-copied,Screenshot copied to the clipboard.,Screenshot copied to the clipboard.,螢幕截圖複製到剪貼簿。
plugins.graph-view.label-groups,Groups,Groups,群組
plugins.graph-view.placeholder-enter-query,Enter query...,Enter query...,輸入查詢……
plugins.graph-view.tooltip-delete-graph,Delete group,Delete group,刪除群組
plugins.graph-view.button-new-group,New group,New group,新群組
plugins.graph-view.tooltip-click-to-change-drag-to-reorder,Click to change color,Click to change color,點擊以變更顏色
,Drag to reorder groups,Drag to reorder groups,拖曳以重排群組順序
plugins.graph-view.action-timelapse,Start graph timelapse animation,Start graph timelapse animation,開始關聯圖動畫展示
plugins.graph-view.tooltip-start-timelapse-animation,Start timelapse animation,Start timelapse animation,開始時間推移動畫
plugins.graph-view.button-animate-timelapse,Animate,Animate,動畫
plugins.backlinks.name,Backlinks,Backlinks,反向連結
plugins.backlinks.desc,Show number of backlinks in the status bar.,Show number of backlinks in the status bar.,在狀態列中顯示反向連結的數量。
plugins.backlinks.action-open,Open backlinks,Open backlinks,開啟反向連結
plugins.backlinks.action-show,Show backlinks pane,Show backlinks pane,顯示反向連結窗格
plugins.backlinks.action-open-for-current,Open backlinks for the current file,Open backlinks for the current file,顯示目前筆記的相關連結
plugins.backlinks.action-toggle-backlinks-in-document,Toggle backlinks in document,Toggle backlinks in document,在文件中切換反向連結
plugins.backlinks.menu-opt-backlinks-in-document,Backlinks in document,Backlinks in document,檔案中的反向連結
plugins.backlinks.label-linked-mentions,Linked mentions,Linked mentions,已連結本筆記的檔案
plugins.backlinks.label-no-backlinks,No backlinks found.,No backlinks found.,沒有反向連結。
plugins.backlinks.label-unlinked-mentions,Unlinked mentions,Unlinked mentions,未連結但提及本筆記的檔案
plugins.backlinks.label-show-search,Show search filter,Show search filter,顯示搜尋過濾內容
plugins.backlinks.label-link-button-text,Link,Link,連結
plugins.backlinks.tab-title,Backlinks for {{displayText}},Backlinks for {{displayText}},{{displayText}} 的反向連結
plugins.backlinks.label-no-unlinked-mentions,No unlinked mentions found.,No unlinked mentions found.,未發現文字。
plugins.backlinks.ellipsis,...,...,……
plugins.backlinks.option-backlink-in-document,Backlink in document,Backlink in document,文件的反向連結
plugins.backlinks.option-backlink-in-document-desc,Show backlinks in document by default when opening new panes.,Show backlinks in document by default when opening new panes.,開啟新窗格時，預設顯示文件中的反向連結。
plugins.outgoing-links.name,Outgoing Links,Outgoing Links,對外連結
plugins.outgoing-links.desc,Show outgoing links and detect unlinked mentions of other notes in the current note.,Show outgoing links and detect unlinked mentions of other notes in the current note.,顯示對外連結，並偵測提及的未連結筆記。
plugins.outgoing-links.action-open,Open outgoing links,Open outgoing links,開啟對外連結
plugins.outgoing-links.action-show,Show outgoing links pane,Show outgoing links pane,顯示對外連結窗格
plugins.outgoing-links.action-open-for-current,Open outgoing links for the current file,Open outgoing links for the current file,開啟目前檔案的對外連結
plugins.outgoing-links.tab-title,Outgoing links from {{displayText}},Outgoing links from {{displayText}},{{displayText}} 的對外連結
plugins.outgoing-links.label-links,Links,Links,連結
plugins.outgoing-links.label-no-links,No links found.,No links found.,找不到連結。
plugins.outgoing-links.label-unlinked-mentions,Unlinked mentions,Unlinked mentions,提及的未連結
plugins.outgoing-links.tooltip-link-file,Link this file,Link this file,連結到本檔案
plugins.outgoing-links.tooltip-not-created,Not created yet,Not created yet,尚未建立
plugins.tag-pane.name,Tag pane,Tag pane,標籤窗格
plugins.tag-pane.desc,Displays all your tags along with their number of occurrences.,Displays all your tags along with their number of occurrences.,顯示所有標籤及其出現的次數。
plugins.tag-pane.action-show,Show tag pane,Show tag pane,顯示標籤窗格
plugins.tag-pane.label-no-tags,No tags found.,No tags found.,未發現標籤。
plugins.tag-pane.label-sort-by-name-a-to-z,Tag name (A to Z),Tag name (A to Z),標籤名稱 (A 到 Z)
plugins.tag-pane.label-sort-by-name-z-to-a,Tag name (Z to A),Tag name (Z to A),標籤名稱 (Z 到 A)
plugins.tag-pane.label-sort-by-frequency-high-to-low,Frequency (high to low),Frequency (high to low),使用頻率 (高到低)
plugins.tag-pane.label-sort-by-frequency-low-to-high,Frequency (low to high),Frequency (low to high),使用頻率 (低到高)
plugins.tag-pane.action-show-nested-tags,Show nested tags,Show nested tags,顯示巢狀標籤
plugins.tag-pane.action-collapse-all,Collapse all,Collapse all,全部折疊
plugins.tag-pane.action-expand-all,Expand all,Expand all,全部展開
plugins.page-preview.name,Page preview,Page preview,頁面預覽
plugins.page-preview.desc,Preview a note when hovering an internal link. Ctrl/Cmd + hover in editor mode.,Preview a note when hovering an internal link. Ctrl/Cmd + hover in editor mode.,滑鼠懸停在內部連結上顯示預覽視窗。編輯模式時需按住 Ctrl/Cmd 鍵。
plugins.page-preview.label-empty-note,"""{{linktext}}"" is not created yet. Click to create.","""{{linktext}}"" is not created yet. Click to create.",「{{linktext}}」未建立成功！請點擊以建立。
plugins.page-preview.label-source-editor,Editor,Editor,編輯器
plugins.page-preview.label-source-preview,Preview,Preview,預覽
plugins.page-preview.label-source-search,"Search, Backlinks, and Outgoing links","Search, Backlinks, and Outgoing links",搜尋，反向連結與對外連結
plugins.page-preview.label-require-mod,Require {{key}} to trigger page preview on hover,Require {{key}} to trigger page preview on hover,滑鼠懸停時必須按 {{key}} 才能預覽
plugins.bookmarks.name,Bookmarks,Bookmarks,書籤
plugins.bookmarks.desc,Bookmark frequently used files and searches.,Bookmark frequently used files and searches.,為常用檔案和搜尋加上書籤。
plugins.bookmarks.action-show,Show bookmarks,Show bookmarks,顯示書籤
plugins.bookmarks.action-collapse-all,Collapse all,Collapse all,全部折疊
plugins.bookmarks.action-new-bookmark,Bookmark the active tab...,Bookmark the active tab...,將使用中的分頁加上書籤……
plugins.bookmarks.action-new-group,New bookmark group,New bookmark group,建立書籤群組
plugins.bookmarks.action-bookmark,Bookmark...,Bookmark...,書籤…
plugins.bookmarks.action-edit-bookmark,Edit bookmark,Edit bookmark,編輯書籤
plugins.bookmarks.action-bookmark-block,Bookmark block under cursor...,Bookmark block under cursor...,將游標下的區塊加上書籤……
plugins.bookmarks.action-bookmark-heading,Bookmark heading under cursor...,Bookmark heading under cursor...,將游標下的標題加上書籤……
plugins.bookmarks.action-bookmark-search,Bookmark current search...,Bookmark current search...,將目前搜尋加上書籤……
plugins.bookmarks.action-remove-bookmark,Remove bookmark for current file,Remove bookmark for current file,移除目前檔案的書籤
plugins.bookmarks.action-bookmark-tab-group,Bookmark {{count}} tab...,Bookmark {{count}} tab...,將 {{count}} 個分頁加上書籤……
plugins.bookmarks.action-bookmark-tab-group_plural,Bookmark {{count}} tabs...,Bookmark {{count}} tabs...,將 {{count}} 個分頁加上書籤……
plugins.bookmarks.action-bookmark-all-tabs,Bookmark all tabs...,Bookmark all tabs...,將所有分頁加上書籤……
plugins.bookmarks.action-bookmark-graph,Bookmark this graph...,Bookmark this graph...,將此關聯圖加上書籤……
plugins.bookmarks.label-bookmark-with-count,{{count}} bookmark,{{count}} bookmark,{{count}} 個書籤
plugins.bookmarks.label-bookmark-with-count_plural,{{count}} bookmarks,{{count}} bookmarks,{{count}} 個書籤
plugins.bookmarks.label-no-bookmarks,No bookmarks found,No bookmarks found,找不到書籤
plugins.bookmarks.label-untitled-folder,Untitled folder,Untitled folder,未命名資料夾
plugins.bookmarks.label-untitled-graph,Untitled Graph,Untitled Graph,未命名關聯圖
plugins.bookmarks.menu-opt-edit,Edit...,Edit...,編輯…
plugins.bookmarks.menu-opt-new-folder,New folder,New folder,新增資料夾
plugins.bookmarks.menu-opt-remove,Remove,Remove,移除
plugins.bookmarks.menu-opt-rename,Rename,Rename,重新命名
plugins.bookmarks.menu-opt-bookmark-heading,Bookmark this heading...,Bookmark this heading...,將此標題加上書籤……
plugins.bookmarks.msg-no-search-query,No search query to bookmark.,No search query to bookmark.,沒有可以加上書籤的搜尋查詢。
plugins.bookmarks.option-path,Path,Path,路徑
plugins.bookmarks.option-query,Query,Query,查詢
plugins.bookmarks.option-title,Title,Title,標題
plugins.bookmarks.option-group,Bookmark group,Bookmark group,書籤群組
plugins.bookmarks.placeholder-bookmark-group,Bookmarks,Bookmarks,書籤
plugins.custom-css.name,Custom CSS,Custom CSS,自訂主題
plugins.custom-css.desc,"Reads ""obsidian.css"" in the vault and applies it.","Reads ""obsidian.css"" in the vault and applies it.",載入並使用「Obsidian.css」佈景主題。
plugins.custom-css.setting-community-themes,Community themes,Community themes,社群佈景主題
plugins.custom-css.msg-fetching-themes,Fetching community theme data...,Fetching community theme data...,正在取得社群佈景主題資料……
plugins.custom-css.prompt-filter,Filter...,Filter...,搜尋……
plugins.custom-css.label-dark-theme-only,Dark themes only,Dark themes only,只有暗黑主題
plugins.custom-css.label-light-theme-only,Light themes only,Light themes only,只有明亮主題
plugins.custom-css.label-use,Use,Use,使用
plugins.custom-css.label-stop-use,Stop using this theme,Stop using this theme,停止使用此主題
plugins.custom-css.label-install-and-use,Install and use,Install and use,安裝並使用
plugins.custom-css.label-update,Update,Update,更新
plugins.custom-css.label-no-readme,This theme did not provide a README file.,This theme did not provide a README file.,此主題未提供 README 檔案。
plugins.custom-css.tooltip-remove-theme,Remove theme,Remove theme,移除主題
plugins.custom-css.label-visit-on-github,Visit on GitHub,Visit on GitHub,前往 GitHub
plugins.custom-css.msg-load-error,"Could not load community themes, please check your network.","Could not load community themes, please check your network.",無法載入社群主題，請檢查您的網路連線。
plugins.custom-css.msg-now-using-theme,You're now using {{title}} as your CSS theme.,You're now using {{title}} as your CSS theme.,您的 CSS 佈景主題已變更為 {{title}}。
plugins.custom-css.msg-deleted-theme,The theme {{title}} has been deleted.,The theme {{title}} has been deleted.,已刪除 {{title}} 主題。
plugins.custom-css.msg-updated-theme,The theme {{title}} has been updated.,The theme {{title}} has been updated.,已更新 {{title}} 主題。
plugins.custom-css.label-installed,Installed,Installed,已安裝
plugins.custom-css.label-legacy,Legacy,Legacy,舊版
plugins.custom-css.button-update-all-themes,Update all,Update all,全部更新
plugins.custom-css.msg-failed-load-themes,Failed to load community themes.,Failed to load community themes.,無法載入社群主題。
plugins.custom-css.msg-no-updates-found,No theme updates found.,No theme updates found.,找不到可用的主題更新。
plugins.custom-css.msg-updates-found,Found {{count}} theme to update.,Found {{count}} theme to update.,有 {{count}} 個主題可更新。
plugins.custom-css.msg-updates-found_plural,Found {{count}} themes to update.,Found {{count}} themes to update.,有 {{count}} 個主題可更新。
plugins.custom-css.msg-failed-to-install-theme,"Failed to install theme ""{{name}}"".","Failed to install theme ""{{name}}"".",無法安裝主題「{{name}}」。
plugins.custom-css.msg-successfully-installed-theme,"Successfully installed theme ""{{name}}"".","Successfully installed theme ""{{name}}"".",成功安裝主題「{{name}}」。
plugins.custom-css.msg-installing-theme,"Installing theme ""{{name}}""...","Installing theme ""{{name}}""...",正在安裝主題「{{name}}」……
plugins.custom-css.label-search-summary,Showing {{themeCount}}:,Showing {{themeCount}}:,顯示 {{themeCount}}：
plugins.custom-css.label-update-available,Update available,Update available,有可用更新
plugins.command-palette.name,Command palette,Command palette,命令面板
plugins.command-palette.desc,Type a command to invoke it. No need to use the UI or remember the shortcut.,Type a command to invoke it. No need to use the UI or remember the shortcut.,無需介面或快速鍵操作，輸入一個命令即可完成相應功能。
plugins.command-palette.action-open,Open command palette,Open command palette,開啟命令面板
plugins.command-palette.instruction-navigate,to navigate,to navigate,導覽
plugins.command-palette.instruction-use,to use,to use,使用
plugins.command-palette.instruction-dismiss,to dismiss,to dismiss,離開
plugins.command-palette.label-no-commands,No commands found.,No commands found.,找不到命令。
plugins.command-palette.prompt-type-command,Type a command...,Type a command...,輸入命令……
plugins.command-palette.label-pinned-commands,Pinned commands,Pinned commands,已釘選命令
plugins.command-palette.option-add-new-pin,New pinned command,New pinned command,新的已釘選命令
plugins.command-palette.option-add-new-pin-description,Pinned commands will appear at the top of all commands when no search query is present.,Pinned commands will appear at the top of all commands when no search query is present.,當沒有搜尋結果時，已釘選命令會顯示在所有命令的頂端。
plugins.markdown-format-importer.name,Markdown format importer,Markdown format importer,Markdown 格式轉換器
plugins.markdown-format-importer.desc,Convert Markdown from other apps to Obsidian format.,Convert Markdown from other apps to Obsidian format.,將其他應用程式中的 Markdown 格式轉換為 Obsidian 支援的格式
plugins.markdown-format-importer.action-open,Open Markdown importer,Open Markdown importer,開啟 Markdown 格式轉換器
plugins.markdown-format-importer.option-roam-tag-fixer,Roam Research tag fixer,Roam Research tag fixer,Roam Research 標籤轉換
plugins.markdown-format-importer.option-roam-tag-fixer-description,"Converts ""#tag"" and ""#[[tag]]"" to ""[[tag]]"".","Converts ""#tag"" and ""#[[tag]]"" to ""[[tag]]"".",將 Roam Research 中的「#tag」和「#[[tag]]」轉換為「[[tag]]」。
plugins.markdown-format-importer.option-roam-highlight-fixer,Roam Research highlight fixer,Roam Research highlight fixer,Roam Research 突顯標籤轉換
plugins.markdown-format-importer.option-roam-highlight-fixer-description,"Converts ""^^highlight^^"" to ""==highlight=="".","Converts ""^^highlight^^"" to ""==highlight=="".",將 Roam Research 中的「^^highlight^^」轉換為「==highlight==」。
plugins.markdown-format-importer.option-roam-todo-converter,Roam Research TODO converter,Roam Research TODO converter,Roam Research 待辦標籤轉換
plugins.markdown-format-importer.option-roam-todo-converter-description,"Converts ""{{[[TODO]]}}"" to ""[ ]"".","Converts ""{{[[TODO]]}}"" to ""[ ]"".",將 Roam Research 中的「{{[[TODO]]}}」轉換為「[ ]」。
plugins.markdown-format-importer.option-bear-highlight-fixer,Bear highlight fixer,Bear highlight fixer,Bear 高亮度修正
plugins.markdown-format-importer.option-bear-highlight-fixer-description,"Converts ""::highlight::"" to ""==highlight=="".","Converts ""::highlight::"" to ""==highlight=="".",轉換「::highlight::」為「==highlight==」。
plugins.markdown-format-importer.zettelkasten-link-fixer,Zettelkasten link fixer,Zettelkasten link fixer,ZK 卡片連結轉換
plugins.markdown-format-importer.zettelkasten-link-fixer-description,"Fixes ""[[UID]]"" links to full ""[[UID File Name]]"".","Fixes ""[[UID]]"" links to full ""[[UID File Name]]"".",將 ZK 卡片中使用的「[[UID]]」連結轉換為「[[UID 檔名]]」的形式。
plugins.markdown-format-importer.zettelkasten-link-beautifier,Zettelkasten link beautifier,Zettelkasten link beautifier,美化 ZK 卡片連結
plugins.markdown-format-importer.zettelkasten-link-beautifier-description,"Fixes ""[[UID]]"" links and also beautify them ""[[UID File Name|File Name]]"".","Fixes ""[[UID]]"" links and also beautify them ""[[UID File Name|File Name]]"".",將 ZK 卡片中使用的「[[UID]]」連結美化為「[[UID 檔名|檔名]]」的形式。
plugins.markdown-format-importer.msg-all-files-warning,"Warning: the importer will convert all the files in your vault, not just the current file.","Warning: the importer will convert all the files in your vault, not just the current file.",警告：轉換器將修改儲存庫中所有檔案，而不只是目前檔案。
plugins.markdown-format-importer.msg-override-files-warning,Your files will be overwritten. Back up all your files before attempting conversion.,Your files will be overwritten. Back up all your files before attempting conversion.,將修改您的檔案。請在轉換前做好備份。
plugins.markdown-format-importer.label-start-conversion,Start Conversion,Start Conversion,開始轉換
plugins.markdown-format-importer.label-stop,Stop,Stop,停止
plugins.markdown-format-importer.label-go-back,Go back,Go back,返回
plugins.markdown-format-importer.label-done,Done,Done,完成
plugins.markdown-format-importer.label-processing,Processing...,Processing...,正在處理……
plugins.markdown-format-importer.label-cancelling,Cancelling...,Cancelling...,正在取消……
plugins.markdown-format-importer.label-finished,Finished!,Finished!,大功告成！
plugins.markdown-format-importer.label-processed-files,Processed files,Processed files,處理的檔案
plugins.markdown-format-importer.label-modified-files,Modified files,Modified files,修改的檔案
plugins.markdown-format-importer.label-total-replacements,Total replacements,Total replacements,全部取代
plugins.daily-notes.name,Daily notes,Daily notes,每日筆記
plugins.daily-notes.desc,"Open today's daily note, or create one if not present.","Open today's daily note, or create one if not present.",開啟今天的每日筆記（如果不存在，則建立一個）。
plugins.daily-notes.short-name,Today,Today,今天
plugins.daily-notes.action-open,Open today's note,Open today's note,開啟今天的每日筆記
plugins.daily-notes.action-open-previous,Open previous daily note,Open previous daily note,開啟上一個每日筆記
plugins.daily-notes.action-open-next,Open next daily note,Open next daily note,開啟下一個每日筆記
plugins.daily-notes.action-insert-text,Insert text into daily note,Insert text into daily note,插入文字到每日筆記
plugins.daily-notes.action-insert-link,Insert link into daily note,Insert link into daily note,插入連結到每日筆記
plugins.daily-notes.msg-fail-format,"Failed to create daily note. ""{{format}}"" is not a valid format.","Failed to create daily note. ""{{format}}"" is not a valid format.",未成功建立每日筆記。「{{format}}」不是有效的格式。
plugins.daily-notes.msg-fail-folder,"Failed to create daily note. Folder ""{{folderOption}}"" not found.","Failed to create daily note. Folder ""{{folderOption}}"" not found.",未成功建立每日筆記。找不到「{{folderOption}}」資料夾。
plugins.daily-notes.msg-fail-template-file,"Failed to create daily note. Template file ""{{template}}"" not found.","Failed to create daily note. Template file ""{{template}}"" not found.",未成功建立每日筆記。找不到「{{template}}」模板檔案。
plugins.daily-notes.msg-no-previous,There's no daily note before this one.,There's no daily note before this one.,在此之前沒有每日筆記。
plugins.daily-notes.msg-no-next,There's no daily note after this one.,There's no daily note after this one.,在此之後沒有每日筆記。
plugins.daily-notes.option-date-format,Date format,Date format,日期格式
plugins.daily-notes.label-refer-to-syntax,"For more syntax, refer to:","For more syntax, refer to:",有關更多語法，請參閱：
plugins.daily-notes.label-syntax-link,format reference,format reference,格式參考
plugins.daily-notes.label-syntax-live-preview,Here is what it will look like:,Here is what it will look like:,這是參考樣式：
plugins.daily-notes.option-new-file-location,New file location,New file location,新檔案儲存目錄
plugins.daily-notes.option-new-file-location-description,The folder path to create the new daily note.,The folder path to create the new daily note.,儲存每日筆記的資料夾路徑。
plugins.daily-notes.option-template,Template file location,Template file location,模板檔案位置
plugins.daily-notes.option-template-description,The file path to use as template.,The file path to use as template.,模板檔案的儲存路徑。
plugins.daily-notes.option-open-on-start,Open daily note on startup,Open daily note on startup,啟動時開啟每日筆記
plugins.daily-notes.option-open-on-start-description,Open your daily note automatically whenever you open this vault.,Open your daily note automatically whenever you open this vault.,開啟此儲存庫時自動開啟每日筆記。
plugins.unique-note-creator.name,Unique note creator,Unique note creator,唯一筆記建立工具
plugins.unique-note-creator.desc,"Create notes with unique timestamp prefixes, for workflows like zettelkasten or slip box.","Create notes with unique timestamp prefixes, for workflows like zettelkasten or slip box.",建立帶有唯一時間戳前綴的筆記，用於卡片盒筆記法等工作流。
plugins.unique-note-creator.short-name,Unique,Unique,唯一
plugins.unique-note-creator.action-create-note,Create new unique note,Create new unique note,建立新唯一筆記
plugins.unique-note-creator.option-new-file-location,New file location,New file location,新檔案位置
plugins.unique-note-creator.option-new-file-location-description,The folder path to create the new unique note.,The folder path to create the new unique note.,建立新唯一筆記的資料夾路徑。
plugins.unique-note-creator.msg-folder-not-found,"Failed to create unique note. Folder ""{{folderOption}}"" not found.","Failed to create unique note. Folder ""{{folderOption}}"" not found.",無法建立唯一筆記。找不到資料夾 “{{folderOption}}”。
plugins.unique-note-creator.option-template-file,Template file location,Template file location,範本檔位置
plugins.unique-note-creator.option-template-file-description,The file path to use as template.,The file path to use as template.,作為範本的檔案路徑。
plugins.unique-note-creator.option-template-file-placeholder,Example: folder1/note,Example: folder1/note,例如：資料夾1/筆記
plugins.unique-note-creator.option-id-format,Unique prefix format,Unique prefix format,唯一前綴格式
plugins.unique-note-creator.msg-template-file-not-found,"Failed to create unique note. Template file ""{{template}}"" not found.","Failed to create unique note. Template file ""{{template}}"" not found.",無法建立唯一筆記。找不到模板檔案 “{{template}}”。
plugins.unique-note-creator.msg-failed-to-generate,"Failed to generate a unique note with the format ""{{format}}","Failed to generate a unique note with the format ""{{format}}",無法產生格式為 “{{format}}” 的唯一筆記
plugins.random-note.name,Random note,Random note,漫遊筆記
plugins.random-note.desc,Opens a random note. Useful for reviewing and discovering.,Opens a random note. Useful for reviewing and discovering.,隨機開啟一則筆記，協助您回顧和探索。
plugins.random-note.short-name,Random,Random,漫遊
plugins.random-note.action-open,Open random note,Open random note,開始漫遊筆記
plugins.outline.name,Outline,Outline,大綱
plugins.outline.desc,Displays the outline of the current file or linked pane.,Displays the outline of the current file or linked pane.,顯示目前檔案或連結窗格的大綱標題。
plugins.outline.action-open,Open outline,Open outline,開啟大綱
plugins.outline.action-show,Show outline pane,Show outline pane,顯示大綱窗格
plugins.outline.action-open-for-current,Open outline of the current file,Open outline of the current file,顯示目前檔案的大綱
plugins.outline.tab-title,Outline of {{displayText}},Outline of {{displayText}},{{displayText}} 的大綱
plugins.outline.label-no-headings,No headings found.,No headings found.,未發現標題行。
plugins.word-count.name,Word count,Word count,字數統計
plugins.word-count.desc,Show word count in the status bar.,Show word count in the status bar.,在狀態列中顯示字數。
plugins.slides.name,Slides,Slides,幻燈片
plugins.slides.desc,"Present from Markdown. Use ""---"" to separate slides.","Present from Markdown. Use ""---"" to separate slides.",在目前頁面中使用「---」分割出幻燈片頁面內容。
plugins.slides.action-start,Start presentation,Start presentation,開始示範
plugins.audio-recorder.name,Audio recorder,Audio recorder,錄音機
plugins.audio-recorder.desc,Record audio and save as attachment.,Record audio and save as attachment.,錄製音訊並儲存為附件。
plugins.audio-recorder.action-start,Start recording audio,Start recording audio,開始錄音
plugins.audio-recorder.action-stop,Stop recording audio,Stop recording audio,停止錄音
plugins.audio-recorder.action-toggle,Start/stop recording,Start/stop recording,開始/停止錄音
plugins.audio-recorder.msg-access-denied,"Microphone access was denied, please enable it from the preference pane.","Microphone access was denied, please enable it from the preference pane.",存取被拒。請前往偏好設定窗格啟用麥克風。
plugins.audio-recorder.msg-pending-grant,Please grant microphone permission to start recording.,Please grant microphone permission to start recording.,請授權麥克風開始錄音。
plugins.audio-recorder.msg-no-microphone,No microphone is connected.,No microphone is connected.,未連接麥克風。
plugins.open-with-default-app.name,Open in default app,Open in default app,使用預設應用程式開啟
plugins.open-with-default-app.desc,Add button to open current file in the default app.,Add button to open current file in the default app.,加上一個按鈕，讓您可以用預設應用程式開啟目前檔案。
plugins.open-with-default-app.action-open-file,Open in default app,Open in default app,使用預設應用程式開啟
plugins.open-with-default-app.action-open-file-mobile,Share,Share,分享
plugins.open-with-default-app.action-show-in-folder,Show in folder,Show in folder,在資料夾中顯示
plugins.open-with-default-app.action-show-in-folder-mac,Reveal in Finder,Reveal in Finder,在 Finder 中顯示
plugins.templates.name,Templates,Templates,模板
plugins.templates.desc,Insert template content from a folder of template files.,Insert template content from a folder of template files.,在模板資料夾裡選擇要插入的模板檔案。
plugins.templates.action-insert,Insert template,Insert template,插入模板
plugins.templates.action-insert-current-date,Insert current date,Insert current date,插入目前日期
plugins.templates.action-insert-current-time,Insert current time,Insert current time,插入目前時間
plugins.templates.option-template-folder-location,Template folder location,Template folder location,模板資料夾位置
plugins.templates.option-template-folder-location-description,Files in this folder will be available as templates.,Files in this folder will be available as templates.,在這個資料夾裡的所有檔案會被視為模板檔案。
plugins.templates.option-template-date-format,Date format,Date format,日期格式
plugins.templates.option-template-date-format-description,{{date}} in the template file will be replaced with this value.,{{date}} in the template file will be replaced with this value.,模板檔案內的 {{date}} 會被置換成此值。
plugins.templates.option-template-date-format-description2,You can also use {{date:YYYY-MM-DD}} to override the format once.,You can also use {{date:YYYY-MM-DD}} to override the format once.,可使用 {{date:YYYY-MM-DD}} 來取代設定的日期格式。
plugins.templates.option-template-time-format,Time format,Time format,時間格式
plugins.templates.option-template-time-format-description,{{time}} in the template file will be replaced with this value.,{{time}} in the template file will be replaced with this value.,模板檔案內的 {{time}} 會被置換成此值。
plugins.templates.option-template-time-format-description2,You can also use {{time:HH:mm}} to override the format once.,You can also use {{time:HH:mm}} to override the format once.,可使用 {{time:HH:mm}} 來取代設定的時間格式。
plugins.templates.instruction-navigate,to navigate,to navigate,導覽
plugins.templates.instruction-insert,to insert template,to insert template,插入模板
plugins.templates.instruction-dismiss,to dismiss,to dismiss,取消動作
plugins.templates.msg-no-templates-found,No templates found,No templates found,無符合模板
plugins.templates.msg-fail-invalid-folder,Failed to list templates. Template folder is invalid.,Failed to list templates. Template folder is invalid.,無法列出模板清單。模板資料夾設定錯誤。
plugins.templates.msg-fail-folder-not-found,"Failed to list templates. Folder ""{{folderOption}}"" not found.","Failed to list templates. Folder ""{{folderOption}}"" not found.",無法列出模板清單。無此資料夾：「{{folderOption}}」。
plugins.templates.msg-no-folder-set,Failed to list templates. No template folder configured.,Failed to list templates. No template folder configured.,無法列出模板清單。模板資料夾尚未設定。
plugins.templates.prompt-type-template,Type name of a template...,Type name of a template...,輸入模板檔名……
plugins.translucency.name,Translucent window,Translucent window,半透明視窗
plugins.translucency.desc,Turn on translucency effect to enhance a sense of depth. Best used with dark mode. Not supported on Linux.,Turn on translucency effect to enhance a sense of depth. Best used with dark mode. Not supported on Linux.,啟用半透明特效以加強深度感，最適合使用於暗黑主題。未支援 Linux。
plugins.slash-command.name,Slash commands,Slash commands,斜線命令
plugins.slash-command.desc,Enable the ability to trigger slash commands in the editor by typing the forward slash.,Enable the ability to trigger slash commands in the editor by typing the forward slash.,開啟在編輯器輸入斜線 (/) 觸發斜線命令的功能。
plugins.editor-status.name,Editor status,Editor status,編輯器狀態
plugins.editor-status.desc,Adds a status bar item to show and change the current editor mode.,Adds a status bar item to show and change the current editor mode.,加入一個狀態列項目，用來顯示和變更目前的編輯器模式。
plugins.editor-status.read,Reading,Reading,閱讀
plugins.editor-status.edit-source,Source mode,Source mode,原始碼模式
plugins.editor-status.edit-live-preview,Live Preview,Live Preview,實際預覽
plugins.publish.name,Publish,Publish,發佈
plugins.publish.desc,Publish your notes through Obsidian Publish.,Publish your notes through Obsidian Publish.,透過 Obsidian Publish 發佈您的筆記。
plugins.publish.action-publish-changes,Publish changes...,Publish changes...,發佈變動內容
plugins.publish.label-no-internet-access,You need access to the internet to publish changes.,You need access to the internet to publish changes.,必須連上網際網路才能發佈變動過的內容。
plugins.publish.label-publish-service-description,Obsidian Publish is an add-on paid service that lets you publish your notes online directly from Obsidian.,Obsidian Publish is an add-on paid service that lets you publish your notes online directly from Obsidian.,Obsidian Publish 是附加的付費服務，讓您可以透過 Obsidian 直接將筆記發佈至網站。
plugins.publish.label-please-login,"To start publishing, please log in or create a new Obsidian account.","To start publishing, please log in or create a new Obsidian account.",要開始發佈，請登入或建立新的 Obsidian 帳戶。
plugins.publish.label-no-publish-subscription,You do not have an Obsidian Publish subscription yet.,You do not have an Obsidian Publish subscription yet.,您尚未訂閱 Obsidian Publish 服務。
plugins.publish.button-purchase,Purchase,Purchase,購買
plugins.publish.label-manage-sites,Manage sites,Manage sites,管理網站
plugins.publish.label-no-sites,You don't have any sites.,You don't have any sites.,尚無任何網站。
plugins.publish.button-choose,Choose,Choose,選擇
plugins.publish.tooltip-edit-site-id,Edit site ID,Edit site ID,編輯網站 ID
plugins.publish.tooltip-delete-site,Delete site,Delete site,刪除網站
